step	step_name	label	chars	words	runtime	input_name	output_file
1	GROBID	main	26284	3839	2s	41388_2014_Article_BFonc2013581	02_grobid/41388_2014_Article_BFonc2013581.xml
1	GROBID	s/41388_2014_BFonc2013581_MOESM15_ESM	8320	1236	1s	41388_2014_BFonc2013581_MOESM15_ESM	02_grobid/s/41388_2014_BFonc2013581_MOESM15_ESM/41388_2014_BFonc2013581_MOESM15_ESM.xml
1	GROBID	s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01	6475	763	1s	41388_2014_BFonc2013581_MOESM16_ESM	02_grobid/s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01/41388_2014_BFonc2013581_MOESM16_ESM.xml
1	GROBID	s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01	2114	393	1s	41388_2014_BFonc2013581_MOESM17_ESM	02_grobid/s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01/41388_2014_BFonc2013581_MOESM17_ESM.xml
1	GROBID	s/41388_2014_BFonc2013581_MOESM18_ESM	1526	192	1s	41388_2014_BFonc2013581_MOESM18_ESM	02_grobid/s/41388_2014_BFonc2013581_MOESM18_ESM/41388_2014_BFonc2013581_MOESM18_ESM.xml
2	GNorm2	main	70729	5544	1m 31s	41388_2014_Article_BFonc2013581	03_gnorm2/41388_2014_Article_BFonc2013581.xml
2	GNorm2	s/41388_2014_BFonc2013581_MOESM15_ESM	19883	1680	1s	41388_2014_BFonc2013581_MOESM15_ESM	03_gnorm2/s/41388_2014_BFonc2013581_MOESM15_ESM/41388_2014_BFonc2013581_MOESM15_ESM.xml
2	GNorm2	s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01	8814	840	1s	41388_2014_BFonc2013581_MOESM16_ESM	03_gnorm2/s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01/41388_2014_BFonc2013581_MOESM16_ESM.xml
2	GNorm2	s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01	8957	650	1s	41388_2014_BFonc2013581_MOESM17_ESM	03_gnorm2/s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01/41388_2014_BFonc2013581_MOESM17_ESM.xml
2	GNorm2	s/41388_2014_BFonc2013581_MOESM18_ESM	2219	203	1s	41388_2014_BFonc2013581_MOESM18_ESM	03_gnorm2/s/41388_2014_BFonc2013581_MOESM18_ESM/41388_2014_BFonc2013581_MOESM18_ESM.xml
3	tmVar3	main	78443	5693	53s	41388_2014_Article_BFonc2013581.xml.BioC	04_tmvar3/41388_2014_Article_BFonc2013581.xml.BioC.XML
3	tmVar3	s/41388_2014_BFonc2013581_MOESM15_ESM	33003	1922	3m 36s	41388_2014_BFonc2013581_MOESM15_ESM.xml.BioC	04_tmvar3/s/41388_2014_BFonc2013581_MOESM15_ESM/41388_2014_BFonc2013581_MOESM15_ESM.xml.BioC.XML
3	tmVar3	s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01	38115	1434	2m 0s	41388_2014_BFonc2013581_MOESM16_ESM.xml.BioC	04_tmvar3/s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01/41388_2014_BFonc2013581_MOESM16_ESM.xml.BioC.XML
3	tmVar3	s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01	9750	665	24s	41388_2014_BFonc2013581_MOESM17_ESM.xml.BioC	04_tmvar3/s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01/41388_2014_BFonc2013581_MOESM17_ESM.xml.BioC.XML
3	tmVar3	s/41388_2014_BFonc2013581_MOESM18_ESM	2219	203	0s	41388_2014_BFonc2013581_MOESM18_ESM.xml.BioC	04_tmvar3/s/41388_2014_BFonc2013581_MOESM18_ESM/41388_2014_BFonc2013581_MOESM18_ESM.xml.BioC.XML
4	AIONER	main	113350	8723	16s	41388_2014_Article_BFonc2013581	05_aioner/41388_2014_Article_BFonc2013581.xml
4	AIONER	s/41388_2014_BFonc2013581_MOESM15_ESM	41802	3138	1s	41388_2014_BFonc2013581_MOESM15_ESM	05_aioner/s/41388_2014_BFonc2013581_MOESM15_ESM/41388_2014_BFonc2013581_MOESM15_ESM.xml
4	AIONER	s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01	63151	3981	0s	41388_2014_BFonc2013581_MOESM16_ESM	05_aioner/s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01/41388_2014_BFonc2013581_MOESM16_ESM.xml
4	AIONER	s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01	21349	1484	0s	41388_2014_BFonc2013581_MOESM17_ESM	05_aioner/s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01/41388_2014_BFonc2013581_MOESM17_ESM.xml
4	AIONER	s/41388_2014_BFonc2013581_MOESM18_ESM	3586	307	0s	41388_2014_BFonc2013581_MOESM18_ESM	05_aioner/s/41388_2014_BFonc2013581_MOESM18_ESM/41388_2014_BFonc2013581_MOESM18_ESM.xml
5	NLMChem	main	40109	4531	5m 59s	41388_2014_Article_BFonc2013581	06_nlmchem/41388_2014_Article_BFonc2013581.xml
5	NLMChem	s/41388_2014_BFonc2013581_MOESM15_ESM	10266	1332	0s	41388_2014_BFonc2013581_MOESM15_ESM	06_nlmchem/s/41388_2014_BFonc2013581_MOESM15_ESM/41388_2014_BFonc2013581_MOESM15_ESM.xml
5	NLMChem	s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01	6485	760	0s	41388_2014_BFonc2013581_MOESM16_ESM	06_nlmchem/s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01/41388_2014_BFonc2013581_MOESM16_ESM.xml
5	NLMChem	s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01	2124	390	0s	41388_2014_BFonc2013581_MOESM17_ESM	06_nlmchem/s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01/41388_2014_BFonc2013581_MOESM17_ESM.xml
5	NLMChem	s/41388_2014_BFonc2013581_MOESM18_ESM	1536	189	0s	41388_2014_BFonc2013581_MOESM18_ESM	06_nlmchem/s/41388_2014_BFonc2013581_MOESM18_ESM/41388_2014_BFonc2013581_MOESM18_ESM.xml
6	TaggerOne	main	41192	4292	9s	41388_2014_Article_BFonc2013581	07_taggerone/41388_2014_Article_BFonc2013581.xml
6	TaggerOne	s/41388_2014_BFonc2013581_MOESM15_ESM	16491	1490	7s	41388_2014_BFonc2013581_MOESM15_ESM	07_taggerone/s/41388_2014_BFonc2013581_MOESM15_ESM/41388_2014_BFonc2013581_MOESM15_ESM.xml
6	TaggerOne	s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01	24361	1511	17s	41388_2014_BFonc2013581_MOESM16_ESM	07_taggerone/s/41388_2014_BFonc2013581_MOESM16_ESM/tab_01/41388_2014_BFonc2013581_MOESM16_ESM.xml
6	TaggerOne	s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01	4773	578	7s	41388_2014_BFonc2013581_MOESM17_ESM	07_taggerone/s/41388_2014_BFonc2013581_MOESM17_ESM/tab_01/41388_2014_BFonc2013581_MOESM17_ESM.xml
